"suburb","council_area","region_name","distance_from_city"
"Abbotsford","Yarra City Council","Northern Metropolitan",2.75
"Aberfeldie","Moonee Valley City Council","Western Metropolitan",8.3
"Airport West","Moonee Valley City Council","Western Metropolitan",11.95
"Albanvale","Brimbank City Council","Western Metropolitan",14
"Albert Park","Port Phillip City Council","Southern Metropolitan",3.15
"Albion","Brimbank City Council","Western Metropolitan",12.2
"Alphington","Darebin City Council","Northern Metropolitan",6.05
"Altona","Hobsons Bay City Council","Western Metropolitan",12.4
"Altona Meadows","Hobsons Bay City Council","Western Metropolitan",15.5
"Altona North","Hobsons Bay City Council","Western Metropolitan",10.25
"Ardeer","Brimbank City Council","Western Metropolitan",12.8
"Armadale","Stonnington City Council","Southern Metropolitan",6.3
"Ascot Vale","Moonee Valley City Council","Western Metropolitan",5.1
"Ashburton","Boroondara City Council","Southern Metropolitan",10.6
"Ashwood","Monash City Council","Southern Metropolitan",11.2
"Aspendale","Kingston City Council","South-Eastern Metropolitan",21.5
"Aspendale Gardens","Kingston City Council","South-Eastern Metropolitan",21.5
"Attwood","Hume City Council","Northern Metropolitan",16.5
"Avondale Heights","Moonee Valley City Council","Western Metropolitan",10
"Avonsleigh","Cardinia Shire Council","Eastern Victoria",36.9
"Bacchus Marsh","Moorabool Shire Council","Western Victoria",37.5
"Balaclava","Port Phillip City Council","Southern Metropolitan",6.5
"Balwyn","Boroondara City Council","Southern Metropolitan",8.8
"Balwyn North","Boroondara City Council","Southern Metropolitan",9.45
"Bayswater","Knox City Council","Eastern Metropolitan",23.2
"Bayswater North","Maroondah City Council","Eastern Metropolitan",23.2
"Beaconsfield","Cardinia Shire Council","Eastern Victoria",39
"Beaconsfield Upper","Cardinia Shire Council","Eastern Victoria",39.8
"Beaumaris","Bayside City Council","Southern Metropolitan",17.3
"Belgrave","Yarra Ranges Shire Council","Eastern Victoria",30.4
"Bellfield","Banyule City Council","Eastern Metropolitan",9.15
"Bentleigh","Glen Eira City Council","Southern Metropolitan",12.2
"Bentleigh East","Glen Eira City Council","Southern Metropolitan",13.85
"Berwick","Casey City Council","Eastern Victoria",35.2
"Black Rock","Bayside City Council","Southern Metropolitan",17.3
"Blackburn","Whitehorse City Council","Eastern Metropolitan",13.4
"Blackburn North","Whitehorse City Council","Eastern Metropolitan",13.4
"Blackburn South","Whitehorse City Council","Eastern Metropolitan",13.4
"Bonbeach","Kingston City Council","South-Eastern Metropolitan",27
"Boronia","Knox City Council","Eastern Metropolitan",25
"Botanic Ridge","Casey City Council","South-Eastern Metropolitan",34.7
"Box Hill","Whitehorse City Council","Eastern Metropolitan",12
"Braybrook","Maribyrnong City Council","Western Metropolitan",9.7
"Briar Hill","Banyule City Council","Eastern Metropolitan",16.1
"Brighton","Bayside City Council","Southern Metropolitan",10.85
"Brighton East","Bayside City Council","Southern Metropolitan",10.5
"Broadmeadows","Hume City Council","Northern Metropolitan",14
"Brookfield","Melton City Council","Western Victoria",29.8
"Brooklyn","Brimbank City Council","Western Metropolitan",8.65
"Brunswick","Moreland City Council","Northern Metropolitan",5.2
"Brunswick East","Moreland City Council","Northern Metropolitan",4.25
"Brunswick West","Moreland City Council","Northern Metropolitan",5.55
"Bulla","Hume City Council","Western Metropolitan",22.9
"Bulleen","Manningham City Council","Eastern Metropolitan",11.3
"Bullengarook","Macedon Ranges Shire Council","Northern Victoria",45.9
"Bundoora","Banyule City Council","Northern Metropolitan",12.1
"Burnley","Yarra City Council","Northern Metropolitan",2.95
"Burnside","Melton City Council","Western Metropolitan",14.8
"Burnside Heights","Melton City Council","Western Metropolitan",14.8
"Burwood","Monash City Council","Southern Metropolitan",11.05
"Burwood East","Whitehorse City Council","Eastern Metropolitan",14.7
"Cairnlea","Brimbank City Council","Western Metropolitan",14.8
"Camberwell","Boroondara City Council","Southern Metropolitan",7.75
"Campbellfield","Hume City Council","Northern Metropolitan",15.55
"Canterbury","Boroondara City Council","Southern Metropolitan",8.7
"Carlton","Melbourne City Council","Northern Metropolitan",1.7
